ESC_UA5563AA_AS	2016-10-02
ESC_IA5749AA_AS	2016-10-02
ESC_IA5713AA_AS	2016-10-02
ESC_IA7122AA_AS	2016-10-02
ESC_IA5678AA_AS	2016-10-02
ESC_IA4853AA_AS	2016-10-02
ESC_IA4841AA_AS	2016-10-02
ESC_IA4689AA_AS	2016-10-02
ESC_IA4742AA_AS	2016-10-02
ESC_IA4733AA_AS	2016-10-02
ESC_IA4431AA_AS	2016-10-02
ESC_IA4381AA_AS	2016-10-02
ESC_IA4628AA_AS	2016-10-02
ESC_IA4354AA_AS	2016-10-02
ESC_IA4614AA_AS	2016-10-02
ESC_IA4705AA_AS	2016-10-02
ESC_IA4293AA_AS	2016-10-02
ESC_IA4275AA_AS	2016-10-02
ESC_IA4273AA_AS	2016-10-02
ESC_IA4212AA_AS	2016-10-02
ESC_IA4070AA_AS	2016-10-02
ESC_IA4004AA_AS	2016-10-02
ESC_IA3876AA_AS	2016-10-02
ESC_IA3865AA_AS	2016-10-02
ESC_IA3726AA_AS	2016-10-02
ESC_IA3659AA_AS	2016-10-02
ESC_IA3630AA_AS	2016-10-02
ESC_IA3587AA_AS	2016-10-02
ESC_IA3578AA_AS	2016-10-02
ESC_IA3576AA_AS	2016-10-02
ESC_IA3570AA_AS	2016-10-02
ESC_IA3539AA_AS	2016-10-02
ESC_IA3508AA_AS	2016-10-02
ESC_IA3491AA_AS	2016-10-02
ESC_IA3478AA_AS	2016-10-02
ESC_IA3473AA_AS	2016-10-02
ESC_IA6396AA_AS	2016-2
ESC_IA6946AA_AS	2016-2
ESC_JA0721AA_AS	2016-10-24
ESC_JA0719AA_AS	2016-10-24
ESC_IA9732AA_AS	2016-10-24
ESC_JA0291AA_AS	2016-10-24
ESC_IA9007AA_AS	2016-10-24
ESC_JA4775AA_AS	2015-8
ESC_JA4769AA_AS	2015-10
ESC_JA3940AA_AS	2015-9
ESC_JA5082AA_AS	2015-10
ESC_JA5498AA_AS	2011
ESC_KA2487AA_AS	2016-11-25
ESC_KA7448AA_AS	2016
ESC_LA1184AA_AS	2017-01-15
ESC_LA1131AA_AS	2017-01-15
ESC_LA1064AA_AS	2017-01-15
ESC_LA0998AA_AS	2017-01-15
ESC_LA0934AA_AS	2017-01-15
ESC_LA0870AA_AS	2017-01-15
ESC_LA0869AA_AS	2017-01-15
ESC_LA0850AA_AS	2017-01-15
ESC_LA0821AA_AS	2017-01-15
ESC_LA0799AA_AS	2017-01-15
ESC_LA0798AA_AS	2017-01-15
ESC_LA0797AA_AS	2017-01-15
ESC_LA0769AA_AS	2017-01-15
ESC_LA0732AA_AS	2017-01-15
ESC_LA0703AA_AS	2017-01-15
ESC_LA0700AA_AS	2017-01-15
ESC_LA0619AA_AS	2017-01-15
ESC_LA0614AA_AS	2017-01-15
ESC_LA0570AA_AS	2017-01-15
ESC_LA0557AA_AS	2017-01-15
ESC_LA0506AA_AS	2017-01-15
ESC_LA0368AA_AS	2017-01-15
ESC_LA0354AA_AS	2017-01-15
ESC_LA0353AA_AS	2017-01-15
ESC_LA0351AA_AS	2017-01-15
ESC_LA0350AA_AS	2017-01-15
ESC_LA0316AA_AS	2017-01-15
ESC_LA0273AA_AS	2017-01-15
ESC_LA0271AA_AS	2017-01-15
ESC_LA0263AA_AS	2017-01-15
ESC_LA0258AA_AS	2017-01-15
ESC_LA0199AA_AS	2017-01-15
ESC_LA0197AA_AS	2017-01-15
ESC_LA0145AA_AS	2017-01-15
ESC_LA0134AA_AS	2017-01-15
ESC_LA0026AA_AS	2017-01-15
ESC_KA9945AA_AS	2017-01-15
ESC_LA1348AA_AS	2014-8
ESC_LA1490AA_AS	2002-6
ESC_LA3032AA_AS	2017-02-14
ESC_LA2731AA_AS	2017-02-14
ESC_LA2698AA_AS	2017-02-14
ESC_MA2314AA_AS	2015-5
ESC_MA2313AA_AS	2015-6
ESC_MA2311AA_AS	2015-6
ESC_MA2308AA_AS	2015-6
ESC_MA3099AA_AS	2016
ESC_MA3085AA_AS	2016
ESC_MA3081AA_AS	2016
ESC_MA3075AA_AS	2016
ESC_MA4091AA_AS	2017-04-14
ESC_MA3952AA_AS	2017-04-14
ESC_MA3937AA_AS	2017-04-14
ESC_MA3936AA_AS	2017-04-14
ESC_MA3935AA_AS	2017-04-14
ESC_MA3597AA_AS	2017
ESC_MA7222AA_AS	2016
ESC_MA9957AA_AS	2017-04-27
ESC_NA3198AA_AS	2002
ESC_NA8358AA_AS	2017-05-19
ESC_NA9324AA_AS	2016
ESC_NA9326AA_AS	2017-06-14
ESC_OA0786AA_AS	2017-06-26
ESC_OA1129AA_AS	2017
ESC_OA1378AA_AS	2017
ESC_OA4672AA_AS	2017
ESC_PA0815AA_AS	2016
ESC_PA1758AA_AS	2017-08-22
ESC_PA1687AA_AS	2017-08-22
ESC_PA1573AA_AS	2016
ESC_PA2103AA_AS	2014-11
ESC_PA2079AA_AS	2016-10
ESC_PA2074AA_AS	2016-8
ESC_PA7792AA_AS	2016-9
ESC_QA2196AA_AS	2016-11
ESC_QA2194AA_AS	2016-11
ESC_QA2191AA_AS	2016-10
ESC_QA2315AA_AS	2016-10
ESC_QA2285AA_AS	2016-10
ESC_QA2284AA_AS	2016-11
ESC_QA8490AA_AS	2013
ESC_QA8489AA_AS	2013
ESC_QA8062AA_AS	2013
ESC_QA7575AA_AS	2013
ESC_QA7939AA_AS	2015
ESC_QA7964AA_AS	2009
ESC_QA6926AA_AS	2015
ESC_QA9833AA_AS	2017
ESC_RA2576AA_AS	2017
ESC_RA3990AA_AS	2017
ESC_RA5371AA_AS	2017-1-8
ESC_RA6338AA_AS	2015-6
ESC_RA6335AA_AS	2015-6
ESC_RA6331AA_AS	2015-5
ESC_RA6441AA_AS	2013
ESC_RA6446AA_AS	2014
ESC_RA8317AA_AS	2018-03-27
ESC_RA9110AA_AS	2018
ESC_RA9231AA_AS	2018
ESC_SA1998AA_AS	2017-7
ESC_SA4168AA_AS	2017-6
ESC_SA4292AA_AS	2018-5
ESC_SA4448AA_AS	2017-6
ESC_SA4774AA_AS	2017-7
ESC_SA5362AA_AS	2015-3
ESC_SA5778AA_AS	2017-7
ESC_SA6257AA_AS	2018-06-13
ESC_SA6365AA_AS	2018-06-14
ESC_SA6750AA_AS	2017-8
ESC_SA7841AA_AS	2018
ESC_SA9272AA_AS	2018
ESC_TA0430AA_AS	2018-07-31
ESC_TA0431AA_AS	2018-07-31
ESC_TA0438AA_AS	2018-07-31
ESC_TA0440AA_AS	2018-07-31
ESC_TA0443AA_AS	2018
ESC_TA1384AA_AS	2018-08-04
ESC_TA1385AA_AS	2018-08-04
ESC_TA2225AA_AS	2017
ESC_TA8229AA_AS	2018-09-18
ESC_UA1055AA_AS	2018-9
ESC_UA1987AA_AS	2017
ESC_UA1771AA_AS	2017
ESC_UA1578AA_AS	2017
ESC_UA1520AA_AS	2017
ESC_UA2428AA_AS	2015
ESC_BB8628AA_AS	2018-11-23
ESC_BB8631AA_AS	2018-11-23
ESC_VA1010AA_AS	2018-12-02
ESC_VA1267AA_AS	2014
ESC_VA1938AA_AS	2016-7
ESC_VA2014AA_AS	2016
ESC_VA2245AA_AS	2014
ESC_VA3140AA_AS	2018-12-07
ESC_VA4142AA_AS	2018
ESC_VA4573AA_AS	2018
ESC_VA5952AA_AS	2018
ESC_VA5960AA_AS	2018
ESC_VA6529AA_AS	2017
ESC_VA9492AA_AS	2019-01-25
ESC_VA9329AA_AS	2019-01-25
ESC_WA1914AA_AS	2017
ESC_WA8899AA_AS	2014-6
ESC_WA7326AA_AS	2016
ESC_WA7275AA_AS	2016
ESC_WA6773AA_AS	2014
ESC_WA6732AA_AS	2014
ESC_WA6731AA_AS	2014
ESC_WA6703AA_AS	2014
ESC_WA6700AA_AS	2014
ESC_WA6698AA_AS	2014
ESC_WA6697AA_AS	2014
ESC_XA6460AA_AS	2016-9
ESC_XA6496AA_AS	2016-9
ESC_WA4399AA_AS	2016-9
ESC_WA4395AA_AS	2016-9
ESC_WA4373AA_AS	2016-9
ESC_LB2534AA_AS	2013-8
ESC_WA2624AA_AS	2015-9
ESC_WA2616AA_AS	2015-11
ESC_WA2512AA_AS	2015-11
ESC_WA9633AA_AS	1982
ESC_XA3095AA_AS	1982
ESC_WA9621AA_AS	1982
ESC_WA9606AA_AS	1982
ESC_XA0841AA_AS	2019
ESC_XA0811AA_AS	2019
ESC_YA0664AA_AS	2019-04-02
ESC_YA9137AA_AS	2018-3
ESC_ZA1599AA_AS	2019
ESC_ZA2001AA_AS	2016
ESC_ZA2744AA_AS	2019
ESC_ZA3492AA_AS	2018-3
ESC_ZA3437AA_AS	2017-11
ESC_ZA3427AA_AS	2017-11
ESC_ZA3555AA_AS	2019-05-24
ESC_ZA3565AA_AS	2019-05-24
ESC_ZA3587AA_AS	2019-05-24
ESC_ZA3655AA_AS	2016
ESC_ZA3666AA_AS	2016
ESC_ZA3675AA_AS	2016
ESC_ZA3687AA_AS	2016
ESC_ZA3692AA_AS	2016
ESC_ZA3718AA_AS	2017
